ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9AK6,small_airport,Leisurewood Airstrip Owners Assoc Airport,366,NA,US,US-AK,Wasilla,null,null,9AK6,9AK6,"61.62409973144531, -149.6479949951172"
9AK7,small_airport,Cubdivision Airport,250,NA,US,US-AK,Big Lake,null,null,9AK7,9AK7,"61.58980178833008, -149.81700134277344"
9AK8,small_airport,Wolf Track Airport,90,NA,US,US-AK,Wasilla,null,null,9AK8,9AK8,"61.624698638916016, -149.6820068359375"
9AL0,heliport,Grandview Medical Center Heliport,540,NA,US,US-AL,Birmingham,null,null,AL45,AL45,"33.432844, -86.716059"
9AL1,heliport,Brookwood Fed Helipad Heliport,606,NA,US,US-AL,Hoover,null,null,9AL1,9AL1,"33.420277, -86.669444"
9AL2,heliport,Holt Dam Heliport,250,NA,US,US-AL,Tuscaloosa,null,null,9AL2,9AL2,"33.256711, -87.450491"
9AL3,heliport,Weiss Dam Heliport,570,NA,US,US-AL,Leesburg,null,null,9AL3,9AL3,"34.132261, -85.795408"
9AL4,heliport,Henry Dam Heliport,509,NA,US,US-AL,Ohatchee,null,null,9AL4,9AL4,"33.784866, -86.050671"
9AL5,heliport,Greene County Steam Plant Heliport,107,NA,US,US-AL,Forkland,null,null,9AL5,9AL5,"32.601313, -87.7835056"
9AL6,closed,Lillian Community Heliport,70,NA,US,US-AL,Lillian,null,null,null,null,"30.4072, -87.441803"
9AL7,heliport,JK Farms LLC Heliport,287,NA,US,US-AL,Shorter,null,null,9AL7,9AL7,"32.365276, -85.811944"
9AL8,heliport,North Mississippi Medical Center-Hamilton Heliport,441,NA,US,US-AL,Hamilton,null,null,9AL8,9AL8,"34.127194, -87.9908334"
9AL9,closed,Liberty Park Heliport,620,NA,US,US-AL,Birmingham,null,null,null,null,"33.478732, -86.702279"
9AR0,closed,Robertson Airport,207,NA,US,US-AR,McCrory,null,null,null,null,"35.18895, -91.206272"
9AR1,small_airport,Catlett Farms Airport,466,NA,US,US-AR,Briggsville,null,null,9AR1,9AR1,"34.933266, -93.517234"
9AR9,small_airport,Henry Field,250,NA,US,US-AR,Cabot,null,null,null,null,"34.887389, -91.989486"
9B1,closed,Marlboro Airport,285,NA,US,US-MA,Marlboro,null,null,null,null,"42.343201, -71.509002"
9B8,small_airport,Salmon River Airfield,540,NA,US,US-CT,Marlborough,null,null,null,9B8,"41.589262, -72.44246"
9C0,seaplane_base,Peninsula Point Pullout Seaplane Base,null,NA,US,US-AK,Ketchikan,null,null,9C0,9C0,"55.384700775146484, -131.73800659179688"
9CA0,small_airport,Psk Ranch Airport,3840,NA,US,US-CA,Tehachapi,null,null,9CA0,9CA0,"35.11389923095703, -118.5979995727539"
9CA1,heliport,SCE Barstow Service Center Heliport,2240,NA,US,US-CA,Barstow,null,null,9CA1,9CA1,"34.87516, -116.995978"
9CA2,heliport,Pioneers Memorial Hospital Heliport,-99,NA,US,US-CA,Brawley,null,null,9CA2,9CA2,"32.958457, -115.553106"
9CA3,heliport,Recreation and Conference Center Heliport,701,NA,US,US-CA,City of Industry,null,JID,9CA3,9CA3,"34.020472, -117.927396"
9CA4,heliport,Hi-Desert Medical Center Heliport,2652,NA,US,US-CA,Joshua Tree,null,null,9CA4,9CA4,"34.131312, -116.275822"
9CA5,heliport,California Mart Heliport,434,NA,US,US-CA,Los Angeles,null,null,9CA5,9CA5,"34.04029846191406, -118.25599670410156"
9CA6,closed,North Valley Airport,4960,NA,US,US-NV,Dyer,null,null,null,null,"37.869099, -118.095001"
9CA7,small_airport,Harris River Ranch Airport,450,NA,US,US-CA,Sanger,null,null,9CA7,9CA7,"36.7672004699707, -119.43599700927734"
9CA8,heliport,Boeing Huntington Beach Heliport,65,NA,US,US-CA,Huntington Beach,null,null,9CA8,9CA8,"33.74720001220703, -118.03399658203125"
9CA9,heliport,Santa Fe International Corp Heliport,460,NA,US,US-CA,Alhambra,null,null,9CA9,9CA9,"34.081494, -118.149842"
9CL0,small_airport,Turlock Airpark,100,NA,US,US-CA,Turlock,null,null,9CL0,9CL0,"37.47079849243164, -120.84400177001953"
9CL1,closed,Johnson Ranch Airport,240,NA,US,US-CA,Le Grand,null,null,null,null,"37.191101, -120.276001"
9CL2,small_airport,Christensen Ranch Airport,380,NA,US,US-CA,Hollister,null,null,9CL2,9CL2,"36.87160110473633, -121.33699798583984"
9CL3,small_airport,Likely Airport,4420,NA,US,US-CA,Likely,null,null,9CL3,9CL3,"41.239489, -120.526121"
9CL4,small_airport,Hart Mine Airport,4620,NA,US,US-CA,Ivanpah,null,null,9CL4,9CL4,"35.287181, -115.19439"
9CL5,closed,Blair Strip,231,NA,US,US-CA,Hanford,null,null,null,null,"36.27619, -119.641789"
9CL6,heliport,Children's Hospital Central California Heliport,354,NA,US,US-CA,Fresno,null,null,9CL6,9CL6,"36.883262, -119.80159"
9CL7,small_airport,Old Aerodrome,700,NA,US,US-CA,Browns Valley,null,null,9CL7,9CL7,"39.320825, -121.362807"
9CL8,heliport,Union Eva Heliport,79,NA,US,US-CA,Huntington Beach,null,null,9CL8,9CL8,"33.66170120239258, -118.06199645996094"
9CL9,small_airport,Spezia Airport,null,NA,US,US-CA,Walnut Grove,null,null,9CL9,9CL9,"38.21659851074219, -121.53399658203125"
9CN1,heliport,Hazel Hawkins Memorial Hospital Heliport,397,NA,US,US-CA,Hollister,null,null,9CN1,9CN1,"36.834811, -121.386479"
9CO0,heliport,Denver Police Headquarters Heliport,5350,NA,US,US-CO,Denver,null,null,9CO0,9CO0,"39.737098, -104.992333"
9CO1,heliport,Deer Creek Building Heliport,6228,NA,US,US-CO,Littleton,null,null,9CO1,9CO1,"39.55609893798828, -105.16200256347656"
9CO2,small_airport,Van Slyke Field,5400,NA,US,US-CO,Watkins,null,null,9CO2,9CO2,"39.69609833, -104.4759979"
9CO3,small_airport,Hubbard Airport,4670,NA,US,US-CO,Gateway,null,null,9CO3,9CO3,"38.675444, -108.988101"
9CO4,heliport,Indian Hills/Fire Department Heliport,7310,NA,US,US-CO,Indian Hills,null,null,9CO4,9CO4,"39.63669967651367, -105.26699829101562"
9CO5,small_airport,Scherler Private Airstrip,4126,NA,US,US-CO,Brandon,null,null,9CO5,9CO5,"38.576698303222656, -102.43699645996094"
9CO6,small_airport,D Bar D Airport,6752,NA,US,US-CO,Elizabeth,null,null,9CO6,9CO6,"39.28129959106445, -104.572998046875"
9CO7,small_airport,Beaugh Airport,4770,NA,US,US-CO,Kersey,null,null,null,9CO7,"40.340599060059, -104.57299804688"
9CO8,small_airport,Bijou Bottom Strip,6000,NA,US,US-CO,Kiowa,null,null,9CO8,9CO8,"39.276683, -104.342093"
9CO9,small_airport,Phylcon Ranch Airport,6585,NA,US,US-CO,Mesa,null,null,9CO9,9CO9,"39.127886, -108.143302"
9DC9,heliport,Congressional Heliport,31,NA,US,US-DC,Washington,null,null,9DC9,9DC9,"38.875342, -76.987652"
9F1,small_airport,Valley Mills Municipal Airport,751,NA,US,US-TX,Valley Mills,null,null,9F1,9F1,"31.621, -97.429497"
9F5,heliport,Tcjc-South Campus Heliport,663,NA,US,US-TX,Fort Worth,null,null,9F5,9F5,"32.663700103759766, -97.2863998413086"
9FA2,heliport,Lakeside Medical Center Heliport,11,NA,US,US-FL,Belle Glade,null,null,9FA2,9FA2,"26.723725, -80.6719694"
9FA3,heliport,HCA Florida Trinity Hospital Heliport,37,NA,US,US-FL,Trinity,null,null,9FA3,9FA3,"28.202422, -82.66015"
9FA5,small_airport,Marshall Swamp Airport,53,NA,US,US-FL,Ocala,null,null,9FA5,9FA5,"29.190833, -82.032713"
9FA8,heliport,Baptist Hospital Heliport,15,NA,US,US-FL,Miami,null,null,9FA8,9FA8,"25.66699981689453, -80.33309936523438"
9FD0,seaplane_base,Sage Seadrome Seaplane Base,53,NA,US,US-FL,Lake Wales,null,null,9FD0,9FD0,"27.945600509643555, -81.40339660644531"
9FD1,heliport,Sacred Heart Hospital Heliport,134,NA,US,US-FL,Pensacola,null,null,9FD1,9FD1,"30.474932, -87.211831"
9FD2,small_airport,Blackwater Creek Ultralightport,80,NA,US,US-FL,Plant City,null,null,9FD2,9FD2,"28.136999130249023, -82.14649963378906"
9FD3,heliport,HCA Florida Highlands Hospital Heliport,106,NA,US,US-FL,Sebring,null,null,9FD3,9FD3,"27.465446, -81.431882"
9FD4,heliport,Adventhealth Oviedo ER Heliport,43,NA,US,US-FL,Oviedo,null,null,9FD4,9FD4,"28.658003, -81.239213"
9FD5,small_airport,Thompson's Goinbroke Aero Ranch Airport,85,NA,US,US-FL,Citra,null,null,9FD5,9FD5,"29.386600494384766, -82.14289855957031"
9FD6,heliport,Academy Heliport,null,NA,US,US-FL,Tampa,null,null,9FD6,9FD6,"27.94657, -82.420251"
9FD7,small_airport,Fort Atkinson Plantation Airpark,90,NA,US,US-FL,Day,null,null,9FD7,9FD7,"30.196482, -83.311646"
9FD8,heliport,Wesh-Tv Channel 2 Heliport,105,NA,US,US-FL,Eatonville,null,null,9FD8,9FD8,"28.612499237060547, -81.3855972290039"
9FD9,small_airport,Buddys Ag Service Airport,100,NA,US,US-FL,Mc Alpin,null,null,9FD9,9FD9,"30.1224002838, -82.9679031372"
9FL0,small_airport,Suwannee Belle Airport,50,NA,US,US-FL,Live Oak,null,null,9FL0,9FL0,"30.09239959716797, -83.08540344238281"
9FL1,small_airport,Flying W Airranch Airport,58,NA,US,US-FL,Bushnell,null,null,9FL1,9FL1,"28.6835994720459, -82.15760040283203"
9FL2,small_airport,Saranac Farm Airport,230,NA,US,US-FL,Havana,null,null,9FL2,9FL2,"30.65250015258789, -84.47470092773438"
9FL3,seaplane_base,Lake Josephine Seaplane Base,85,NA,US,US-FL,Sebring,null,null,9FL3,9FL3,"27.396900177001953, -81.42669677734375"
9FL4,heliport,Pasco County Mosquito Heliport,40,NA,US,US-FL,Odessa,null,null,9FL4,9FL4,"28.193424, -82.620376"
9FL5,small_airport,Shady Bend Airport,25,NA,US,US-FL,Bell,null,null,9FL5,9FL5,"29.81410026550293, -82.92569732666016"
9FL6,heliport,Land South Heliport,136,NA,US,US-FL,Mulberry,null,null,9FL6,9FL6,"27.86639976501465, -81.96939849853516"
9FL7,small_airport,Oasis Ranger Station - US Government Airport,10,NA,US,US-FL,Everglades City,null,null,9FL7,9FL7,"25.860072, -81.034727"
9FL8,small_airport,Finlayson Farm Airport,150,NA,US,US-FL,Greenville,null,null,9FL8,9FL8,"30.616600036621094, -83.65239715576172"
9FL9,heliport,Suwannee Hospital Emergency Heliport,94,NA,US,US-FL,Live Oak,null,null,9FL9,9FL9,"30.29129981994629, -83.00399780273438"
9G0,small_airport,Buffalo Airfield,670,NA,US,US-NY,Buffalo,null,null,9G0,9G0,"42.862, -78.716599"
9G1,small_airport,Pittsburgh Northeast Airport,1063,NA,US,US-PA,Tarentum,null,null,null,9G1,"40.603287, -79.826038"
9G5,small_airport,Royalton Airport,628,NA,US,US-NY,Gasport,null,null,9G5,9G5,"43.181999, -78.5578"
9G6,small_airport,Pine Hill Airport,669,NA,US,US-NY,Albion,null,null,9G6,9G6,"43.173546, -78.275126"
9G9,small_airport,Gackle Municipal Airport,1904,NA,US,US-ND,Gackle,null,null,9G9,9G9,"46.616600036621094, -99.16709899902344"
9GA0,small_airport,Brown Field,864,NA,US,US-GA,Zebulon,null,null,9GA0,9GA0,"33.057098388671875, -84.34239959716797"
9GA1,small_airport,Briar Patch Airport,100,NA,US,US-GA,Clyo,null,null,9GA1,9GA1,"32.449315, -81.337781"
9GA2,closed,Berg Park Aerodrome,15,NA,US,US-GA,Midway,null,null,null,null,"31.8025, -81.3975"
9GA3,small_airport,Young Field,401,NA,US,US-GA,Dawson,null,null,9GA3,9GA3,"31.839759, -84.481602"
9GA4,closed,Trico Heliport,950,NA,US,US-GA,Conley,null,null,null,null,"33.664299, -84.339104"
9GA5,small_airport,Lowell Field,475,NA,US,US-GA,Americus,null,null,9GA5,9GA5,"32.05820083618164, -84.29019927978516"
9GA6,small_airport,Brookline - Meadowmere Airport,500,NA,US,US-GA,Milledgeville,null,null,9GA6,9GA6,"33.099829, -83.404784"
9GA7,heliport,Dorminy Medical Center Heliport,363,NA,US,US-GA,Fitzgerald,null,null,9GA7,9GA7,"31.696807, -83.260167"
9GA8,small_airport,Chinaberry Ranch Airport,295,NA,US,US-GA,East Dublin,null,null,9GA8,9GA8,"32.693599700927734, -82.8989028930664"
9GA9,small_airport,Deerfield Landing Airport,445,NA,US,US-GA,Eatonton,null,null,9GA9,9GA9,"33.218101501464844, -83.31719970703125"
9GE6,heliport,Linscott Heliport,532,NA,US,US-GA,Washington,null,null,9GE6,9GE6,"33.646167, -82.65445"
9GE7,small_airport,Neely Farms Airport,720,NA,US,US-GA,Covington,null,null,9GE7,9GE7,"33.531389, -83.791944"
9GE8,heliport,Legacy Medical Center Heliport,857,NA,US,US-GA,Atlanta,null,null,9GE8,9GE8,"33.740897, -84.512551"
9GE9,closed,National EMS Headquarters Heliport,815,NA,US,US-GA,Conyers,null,null,null,null,"33.649839, -84.022172"
9I0,small_airport,Havana Regional Airport,499,NA,US,US-IL,Havana,null,null,K9I0,9I0,"40.222725, -90.022781"
9I3,small_airport,West Liberty Airport,934,NA,US,US-KY,West Liberty,null,null,9I3,9I3,"37.91450119018555, -83.2520980834961"
9ID0,small_airport,Jenkins Creek Ranch Airport,2315,NA,US,US-ID,Weiser,null,null,9ID0,9ID0,"44.300333, -116.985722"
9ID6,small_airport,Mallard Creek Ranch Airport,5200,NA,US,US-ID,Elk City,null,null,9ID6,9ID6,"45.613302, -115.324779"
9II0,closed,Shaffer Airport,940,NA,US,US-IN,Merriam,null,null,null,null,"41.282501, -85.438599"
9II1,small_airport,Short Stop Airport,395,NA,US,US-IN,Hatfield,null,null,9II1,9II1,"37.89970016479492, -87.2177963256836"
9II2,small_airport,Nelund Field,750,NA,US,US-IN,Mishawaka,null,null,9II2,9II2,"41.6875, -86.15499877929688"
9II3,small_airport,Dillon Airport,700,NA,US,US-IN,North Liberty,null,null,9II3,9II3,"41.5625, -86.47219848632812"
9II4,small_airport,Cruzan Field,845,NA,US,US-IN,Arcadia,null,null,9II4,9II4,"40.17250061035156, -85.9447021484375"
9II5,heliport,Rush Memorial Hospital Heliport,980,NA,US,US-IN,Rushville,null,null,9II5,9II5,"39.622512, -85.443218"
9II6,closed,Williams Heliport,630,NA,US,US-IN,Boggstown,null,null,null,null,"39.564701, -85.916702"
9II7,heliport,Parkview Dekalb Hospital Heliport,900,NA,US,US-IN,Auburn,null,null,9II7,9II7,"41.369694, -85.035186"
9II8,small_airport,Francis Airport,920,NA,US,US-IN,Holton,null,null,9II8,9II8,"39.08610153198242, -85.37110137939453"
9IL0,small_airport,Villiger Restricted Landing Area,500,NA,US,US-IL,Henry,null,null,9IL0,9IL0,"41.09450149536133, -89.38619995117188"
9IL1,heliport,Durand Ambulance Service Heliport,775,NA,US,US-IL,Durand,null,null,9IL1,9IL1,"42.430599212646484, -89.32859802246094"
9IL2,small_airport,Routh Airport,668,NA,US,US-IL,St Joseph,null,null,9IL2,9IL2,"40.064998626708984, -88.02639770507812"
9IL3,closed,William Quinton Restricted Landing Area,715,NA,US,US-IL,Heyworth,null,null,null,null,"40.284076, -89.027667"
9IL4,small_airport,Thompson Airport,790,NA,US,US-IL,Steward,null,null,9IL4,9IL4,"41.80720138549805, -89.04810333251953"
9IL5,heliport,City of Highland Park Heliport,640,NA,US,US-IL,Highland Park,null,null,9IL5,9IL5,"42.198314, -87.827027"
9IL6,small_airport,Weishaupt Airport,650,NA,US,US-IL,Mackinaw,null,null,9IL6,9IL6,"40.513099670410156, -89.36730194091797"
9IL7,small_airport,Black Airport,580,NA,US,US-IL,Hillsdale,null,null,9IL7,9IL7,"41.50979995727539, -90.18209838867188"
9IL8,heliport,Fairfield Memorial Hospital Heliport,450,NA,US,US-IL,Fairfield,null,null,9IL8,9IL8,"38.380465, -88.375233"
9IL9,heliport,Silver Cross Hospital Heliport,717,NA,US,US-IL,New Lenox,null,null,9IL9,9IL9,"41.545597, -87.981986"
9IN0,small_airport,Smith Field,902,NA,US,US-IN,Hartford City,null,null,9IN0,9IN0,"40.453438, -85.288754"
9IN1,heliport,Franciscan Health Indianapolis Heliport,825,NA,US,US-IN,Indianapolis,null,null,9IN1,9IN1,"39.647393, -86.080041"
9IN2,closed,New Liberty Field,810,NA,US,US-IN,New Liberty,null,null,null,null,"38.5583, -85.865303"
9IN3,closed,Johnsons Strawberry Farm Airport,620,NA,US,US-IN,Hobart,null,null,null,null,"41.5569, -87.226402"
9IN4,small_airport,Bandmill Field,400,NA,US,US-IN,Decker,null,null,9IN4,9IN4,"38.534407, -87.591714"
9IN5,heliport,Dupont Hospital Heliport,828,NA,US,US-IN,Fort Wayne,null,null,9IN5,9IN5,"41.174400329589844, -85.10780334472656"
9IN6,small_airport,Garrard Airport,550,NA,US,US-IN,Montezuma,null,null,9IN6,9IN6,"39.84080123901367, -87.33940124511719"
9IN7,small_airport,Zupancic Field,660,NA,US,US-IN,Morgantown,null,null,9IN7,9IN7,"39.354771, -86.307371"
9IN8,small_airport,Green Field,890,NA,US,US-IN,Churubusco,null,null,9IN8,9IN8,"41.22919845581055, -85.35810089111328"
9IN9,small_airport,Gessie Airport,635,NA,US,US-IN,Gessie,null,null,9IN9,9IN9,"40.07780075073242, -87.51529693603516"
9IS0,small_airport,Cedar Ridge Airport,680,NA,US,US-IL,Nauvoo,null,null,9IS0,9IS0,"40.54309844970703, -91.33070373535156"
9IS2,small_airport,Schertz Field,758,NA,US,US-IL,Gibson City,null,null,9IS2,9IS2,"40.482878, -88.267529"
9IS3,heliport,St Mary's Hospital - Decatur Heliport,658,NA,US,US-IL,Decatur,null,null,9IS3,9IS3,"39.8273010254, -88.93090057370001"
9IS4,closed,St James Hospital and Health Centers Heliport,694,NA,US,US-IL,Chicago Heights,null,null,null,null,"41.504617, -87.639971"
9IS5,small_airport,J & Y Ultralightport,786,NA,US,US-IL,Dixon,null,null,9IS5,9IS5,"41.85810089111328, -89.40730285644531"
9IS6,closed,Evanston Water Plant Heliport,610,NA,US,US-IL,Evanston,null,null,null,null,"42.061699, -87.674004"
9IS7,heliport,Black Hawk Heliport,630,NA,US,US-IL,Geneseo,null,null,9IS7,9IS7,"41.45560073852539, -90.16819763183594"
9IS8,heliport,Gibson Community Hospital Heliport,782,NA,US,US-IL,Gibson City,null,null,9IS8,9IS8,"40.479655, -88.369475"
9IS9,small_airport,Johnston Airport,785,NA,US,US-IL,Heyworth,null,null,9IS9,9IS9,"40.3344993591, -88.9553985596"
9JY9,heliport,Hazard ARH Regional Medical Center Helipad,1232,NA,US,US-KY,Hazard,null,null,9JY9,9JY9,"37.278465, -83.229097"
9K0,small_airport,Cottonwood Falls Airport,1273,NA,US,US-KS,Cottonwood Falls,null,null,K9K0,9K0,"38.358075, -96.544545"
9K1,closed,Wilroads Gardens Airport,2440,NA,US,US-KS,Dodge City,null,null,null,null,"37.72418, -99.931282"
9K5,small_airport,Slater Memorial Airport,860,NA,US,US-MO,Slater,null,null,9K5,9K5,"39.22919845581055, -93.07240295410156"
9K6,small_airport,Patty Field,1385,NA,US,US-KS,El Dorado,null,null,9K6,9K6,"37.80039978027344, -96.79900360107422"
9KS0,heliport,Coffeyville Regional Medical Center Heliport,750,NA,US,US-KS,Coffeyville,null,null,9KS0,9KS0,"37.04169845581055, -95.63909912109375"
9KS1,small_airport,Hartland Airport,993,NA,US,US-KS,Wellsville,null,null,9KS1,9KS1,"38.6594444, -95.0922222"
9KS2,heliport,Shawnee Mission Medical Center Heliport,1030,NA,US,US-KS,Merriam,null,null,9KS2,9KS2,"38.99580001831055, -94.69110107421875"
9KS3,heliport,Kake Helistop,1330,NA,US,US-KS,Wichita,null,null,9KS3,9KS3,"37.71030044555664, -97.38839721679688"
9KS4,small_airport,Rose Port Inc Airport,1500,NA,US,US-KS,Ionia,null,null,9KS4,9KS4,"39.636395, -98.359802"
9KS5,closed,Rush Field,1675,NA,US,US-KS,Geneseo,null,null,null,null,"38.577801, -98.100304"
9KS6,small_airport,Lundgren Hereford Ranch Airport,2600,NA,US,US-KS,Gove,null,null,9KS6,9KS6,"38.808549, -100.570478"
9KS7,closed,Miller Airport,1000,NA,US,US-KS,Harris,null,null,null,null,"38.277802, -95.443298"
9KS9,small_airport,Dmh Airport,1272,NA,US,US-KS,Salina,null,null,9KS9,9KS9,"38.79079818725586, -97.61830139160156"
9KT0,heliport,Norton Children's Hospital Heliport,546,NA,US,US-KY,Louisville,null,null,9KT0,9KT0,"38.248972, -85.749472"
9KY0,heliport,Clay City Vol. Fire Department Heliport,667,NA,US,US-KY,Clay City,null,null,9KY0,9KY0,"38.853083, -83.917416"
9KY1,heliport,Mary Breckenridge ARH Heliport,482,NA,US,US-KY,Hyden,null,null,9KY1,9KY1,"37.167238, -83.400425"
9KY2,heliport,Air Evac 92 Heliport,691,NA,US,US-KY,Hardinsburg,null,null,9KY2,9KY2,"37.761979, -86.452553"
9KY3,heliport,Montgomery County Fire Heliport,1030,NA,US,US-KY,Mount Sterling,null,null,9KY3,9KY3,"38.063139, -83.957319"
9KY4,small_airport,TEC Field,1190,NA,US,US-KY,London,null,null,9KY4,9KY4,"37.023019, -84.12225"
9KY5,heliport,Norton Brownsboro Hospital Heliport,679,NA,US,US-KY,Louisville,null,null,9KY5,9KY5,"38.316176, -85.576217"
9KY7,heliport,Milton Fire Rescue Heliport,928,NA,US,US-KY,Bedford,null,null,9KY7,9KY7,"38.65708, -85.317442"
9KY8,heliport,Trigg County Hospital Heliport,502,NA,US,US-KY,Cadiz,null,null,9KY8,9KY8,"36.86636, -87.821129"
9KY9,small_airport,Paintsville-Prestonsburg-Combs Field,624,NA,US,US-KY,Paintsville,null,null,9KY9,9KY9,"37.745743, -82.77797"
9LA0,closed,Air Logistics (Belle Chasse) Heliport,1,NA,US,US-LA,Belle Chasse,null,null,null,null,"29.841, -90.043999"
9LA1,closed,Turkey Creek Lake Airport,67,NA,US,US-LA,Wisner,null,null,null,null,"31.906799, -91.7593"
9LA2,small_airport,Norris Airstrip,70,NA,US,US-LA,Newellton,null,null,null,null,"32.1404, -91.411201"
9LA3,heliport,Air Logistics (Fourchon) Heliport,null,NA,US,US-LA,Golden Meadow,null,null,9LA3,9LA3,"29.116981, -90.200082"
9LA4,heliport,Texaco Heliport,5,NA,US,US-LA,Morgan City,null,null,9LA4,9LA4,"29.686899185180664, -91.17179870605469"
9LA5,heliport,Huey P Long Regional Medical Center Heliport,70,NA,US,US-LA,Pineville,null,null,9LA5,9LA5,"31.32085, -92.4407"
9LA6,small_airport,Chandler Airport,82,NA,US,US-LA,Alexandria,null,null,9LA6,9LA6,"31.306801, -92.611504"
9LA7,closed,Air Logistics Amelia Base Heliport,4,NA,US,US-LA,Morgan City,null,null,null,null,"29.668301, -91.096802"
9LA8,heliport,Cornerstone Chemical Company Helistop,9,NA,US,US-LA,South Kenner,null,null,9LA8,9LA8,"29.958504, -90.274551"
9LA9,small_airport,Skyline Airpark,200,NA,US,US-LA,Amite,null,null,9LA9,9LA9,"30.73479, -90.44458"
9LL0,small_airport,Krutmeier Airport,715,NA,US,US-IL,Payson,null,null,9LL0,9LL0,"39.81999969482422, -91.22100067138672"
9LL2,small_airport,Hepp Airport,505,NA,US,US-IL,Cutler,null,null,9LL2,9LL2,"38.03369903564453, -89.57929992675781"
9LL3,closed,John R Reed Airport,699,NA,US,US-IL,Ashmore,null,null,null,null,"39.54348, -88.03111"
9LL5,small_airport,Tommy's Airpark,595,NA,US,US-IL,Edinburg,null,null,9LL5,9LL5,"39.651100158691406, -89.45860290527344"
9LL7,heliport,Brandt Heliport,629,NA,US,US-IL,Pleasant Plains,null,null,9LL7,9LL7,"39.87730026245117, -89.92459869384766"
9LL8,heliport,Refreshment Services Inc Heliport,680,NA,US,US-IL,Decatur,null,null,9LL8,9LL8,"39.86669921875, -88.88529968261719"
9LL9,closed,Townley Farms Airport,700,NA,US,US-IL,Mattoon,null,null,null,null,"39.491454, -88.468842"
9LS1,small_airport,Bayou Meadows Airport,85,NA,US,US-LA,Pioneer,null,null,9LS1,9LS1,"32.699507, -91.386638"
9LS5,small_airport,Red Beard Dusting Service Airport,86,NA,US,US-LA,Tallulah,null,null,9LS5,9LS5,"32.303812, -91.128674"
9LS9,small_airport,4B Ranch Airport,80,NA,US,US-LA,Tallulah,null,null,9LS9,9LS9,"32.405014, -91.343297"
9M0,closed,North Country Seaplane Base,1370,NA,US,US-MN,Duluth,null,null,null,null,"47.0149, -92.168198"
9MA8,heliport,Wayne West Heliport,90,NA,US,US-MA,Carver,null,null,9MA8,9MA8,"41.8468017578125, -70.76090240478516"
9MD9,small_airport,G W Farm Airport,50,NA,US,US-MD,Denton,null,null,9MD9,9MD9,"38.85200119018555, -75.68930053710938"
9MI0,heliport,St Joseph Mercy Ann Arbor Hospital Heliport,837,NA,US,US-MI,Ypsilanti,null,null,9MI0,9MI0,"42.264027, -83.653692"
9MI1,heliport,Custer Main Heliport,883,NA,US,US-MI,Battle Creek,null,null,9MI1,9MI1,"42.33169937133789, -85.29669952392578"
9MI2,small_airport,Newport Woods Airport,593,NA,US,US-MI,Newport,null,null,9MI2,9MI2,"41.98789978027344, -83.30760192871094"
9MI3,heliport,Amway Downtown Heliport,670,NA,US,US-MI,Grand Rapids,null,null,9MI3,9MI3,"42.965737, -85.674313"
9MI4,closed,Thorn Health Center Heliport,930,NA,US,US-MI,Hudson,null,null,null,null,"41.862259, -84.359677"
9MI5,small_airport,Grass Roots STOLport,780,NA,US,US-MI,Millington,null,null,9MI5,9MI5,"43.23780059814453, -83.52439880371094"
9MI6,closed,Trollman's Field,990,NA,US,US-MI,Fenton,null,null,null,null,"42.739201, -83.754997"
9MI7,heliport,Glen Oaks Heliport,920,NA,US,US-MI,Novi,null,null,9MI7,9MI7,"42.4900016784668, -83.46520233154297"
9MI8,heliport,Jott Heliport,630,NA,US,US-MI,Utica,null,null,9MI8,9MI8,"42.6609001159668, -82.99629974365234"
9MI9,heliport,Bronson Methodist Hospital Heliport,786,NA,US,US-MI,Kalamazoo,null,null,9MI9,9MI9,"42.2869987487793, -85.5813980102539"
9MN0,seaplane_base,Carey Lake Seaplane Base,1351,NA,US,US-MN,Hibbing,null,null,9MN0,9MN0,"47.41830062866211, -92.82769775390625"
9MN1,small_airport,Troll Farm Airport,960,NA,US,US-MN,Cambridge,null,null,9MN1,9MN1,"45.61159896850586, -93.19740295410156"
9MN2,seaplane_base,Wabana Seaplane Base,1319,NA,US,US-MN,Grand Rapids,null,null,9MN2,9MN2,"47.41859817504883, -93.518798828125"
9MN3,small_airport,Barnesville Municipal Airport,980,NA,US,US-MN,Barnesville,null,null,9MN3,9MN3,"46.665199279785156, -96.44120025634766"
9MN4,heliport,Fairview Riverside Medical Center Heliport,987,NA,US,US-MN,Minneapolis,null,null,9MN4,9MN4,"44.967184, -93.23745"
9MN5,small_airport,Janssen Airport,1100,NA,US,US-MN,Barnesville,null,null,9MN5,9MN5,"46.70974, -96.352541"
9MN6,small_airport,Merill L Harris Field,800,NA,US,US-MN,Jordan,null,null,9MN6,9MN6,"44.644216, -93.700762"
9MN7,heliport,Watonwan Memorial Hospital Heliport,1078,NA,US,US-MN,St James,null,null,9MN7,9MN7,"43.97999954223633, -94.61689758300781"
9MN8,closed,Whiskey Lake Seaplane Base,1354,NA,US,US-MN,Brandon,null,null,null,null,"45.973098, -95.576104"
9MN9,closed,Tofte Airport,790,NA,US,US-MN,Tofte,null,null,null,null,"47.587851, -90.823407"
